,customer_id,churn,churn prediction,churn probability
5836,4957-SREEC,0,0,1.094718777743916
5994,7515-LODFU,0,0,1.094718777743916
5742,3457-PQBYH,0,0,1.121691745545923
5874,5567-GZKQY,0,0,1.121691745545923
5980,7268-WNTCP,0,0,1.121691745545923
5575,0962-CQPWQ,0,0,1.121691745545923
5533,0374-FIUCA,0,0,1.121691745545923
5564,0794-YVSGE,0,0,1.121745804770943
5517,0040-HALCW,0,0,1.1325613107633143
6008,7647-GYYKX,0,0,1.1325613107633143
6055,8380-MQINP,0,0,1.1325613107633143
6072,8701-DGLVH,0,0,1.1325613107633143
5605,1306-RPWXZ,0,0,1.1325613107633143
5610,1403-GYAFU,0,0,1.1368616348867728
5898,5902-WBLSE,0,0,1.1368616348867728
5962,6980-IMXXE,0,0,1.1368616348867728
6009,7673-BQGKU,0,0,1.1368616348867728
5893,5848-FHRFC,0,0,1.1368616348867728
5572,0902-XKXPN,0,0,1.1368616348867728
5741,3454-JFUBC,0,0,1.1368616348867728
5808,4589-IUAJB,0,0,1.1424222518543627
5694,2696-RZVZW,0,0,1.1424222518543627
5905,6010-DDPPW,0,0,1.1424222518543627
6118,9397-TZSHA,0,0,1.1424222518543627
5651,2072-ZVJJX,0,0,1.1424222518543627
5619,1619-YWUBB,0,0,1.1424222518543627
5854,5220-AGAAX,0,0,1.1424222518543627
5789,4195-PNGZS,0,0,1.1424222518543627
5960,6963-KQYQB,0,0,1.1424222518543627
5928,6484-LATFU,0,0,1.1424222518543627
5535,0394-YONDK,0,0,1.1424222518543627
5684,2560-WBWXF,0,0,1.1424222518543627
5576,0971-QIFJK,0,0,1.1424222518543627
5721,3148-AOIQT,0,0,1.1424222518543627
5815,4656-CAURT,0,0,1.1424222518543627
5603,1299-AURJA,0,0,1.1424222518543627
5916,6265-FRMTQ,0,0,1.1614657442757075
6086,8859-DZTGQ,0,0,1.1614657442757075
5847,5124-EOGYE,0,0,1.1614657442757075
5755,3635-QQRQD,0,0,1.16383460268878
5640,1955-IBMMB,0,0,1.16383460268878
5559,0704-VCUMB,0,0,1.16383460268878
6034,8129-GMVGI,0,0,1.16383460268878
5570,0847-HGRML,0,0,1.16383460268878
5911,6139-ZZRBQ,0,0,1.16383460268878
5547,0508-SQWPL,0,0,1.16383460268878
5967,7064-JHXCE,0,0,1.16383460268878
5767,3774-VBNXY,0,0,1.16383460268878
5938,6621-NRZAK,0,0,1.16383460268878
5541,0464-WJTKO,0,0,1.1638886619137998
5968,7083-MIOPC,0,0,1.1638886619137998
5827,4821-WQOYN,0,0,1.1638886619137998
5988,7463-IFMQU,0,0,1.1638886619137998
5526,0264-CNITK,0,0,1.1638886619137998
5823,4785-FCIFB,0,0,1.1693952196563697
6071,8626-XHBIE,0,0,1.1693952196563697
6102,9087-EYCPR,0,0,1.1693952196563697
5752,3580-GICBM,0,0,1.1693952196563697
5625,1705-GUHPV,0,0,1.1693952196563697
5785,4018-PPNDW,0,0,1.1693952196563697
6138,9661-JALZV,0,0,1.1693952196563697
5613,1468-DEFNC,0,0,1.1693952196563697
6151,9953-ZMKSM,0,0,1.1693952196563697
5837,4979-HPRFL,0,0,1.1693952196563697
5635,1852-QSWCD,0,0,1.1693952196563697
5708,2908-WGAXL,0,0,1.1693952196563697
6029,8028-PNXHQ,0,0,1.1693952196563697
5993,7503-EPSZW,0,0,1.1693952196563697
5712,3027-YNWZU,0,0,1.1693952196563697
5543,0485-ZBSLN,0,0,1.1693952196563697
6081,8780-IHCRN,0,0,1.1693952196563697
5801,4458-KVRBJ,0,0,1.1693952196563697
6054,8361-LBRDI,0,0,1.1693952196563697
5678,2481-SBOYW,0,0,1.1693952196563697
5910,6134-KWTBV,0,0,1.1693952196563697
6093,8946-BFWSG,0,0,1.1693952196563697
5936,6614-YWYSC,0,0,1.1693952196563697
6131,9593-CVZKR,0,0,1.1693952196563697
5577,1043-YCUTE,1,0,1.1693952196563697
5805,4534-WGCIR,0,0,1.1693952196563697
5864,5356-KZCKT,0,0,1.1693952196563697
5691,2632-TACXW,0,0,1.1693952196563697
5941,6685-XSHHU,0,0,1.1693952196563697
5880,5666-MBJPT,0,0,1.1693952196563697
6004,7608-RGIRO,0,0,1.1693952196563697
5557,0626-QXNGV,0,0,1.1694492788813897
5549,0562-HKHML,0,0,1.1694492788813897
5631,1820-DJFPH,0,0,1.1694492788813897
5772,3836-FZSDJ,0,0,1.1694492788813897
5892,5846-ABOBJ,0,0,1.1694492788813897
5806,4565-NLZBV,0,0,1.1694492788813897
6049,8237-ULIXL,0,0,1.1694492788813897
6045,8224-KDLKN,0,0,1.1694492788813897
6032,8092-NLTGF,0,0,1.1694492788813897
5829,4836-WNFNO,0,0,1.1694492788813897
5961,6976-BWGLQ,0,0,1.1694492788813897
5799,4443-EMBNA,0,0,1.1694492788813897
6039,8165-ZJRNM,0,0,1.1694492788813897
5964,7010-BRBUU,0,0,1.1694492788813897
6025,7980-MHFLQ,0,0,1.1694492788813897
5971,7115-IRDHS,0,0,1.1694492788813897
5882,5699-BNCAS,0,0,1.1694492788813897
5558,0640-YJTPY,0,0,1.1694492788813897
5876,5605-XNWEN,0,0,1.1694492788813897
5862,5334-AFQJB,0,0,1.1694492788813897
5637,1926-QUZNN,0,0,1.1694492788813897
5644,1987-AUELQ,0,0,1.1694492788813897
6075,8735-SDUFN,0,0,1.1694492788813897
6013,7711-GQBZC,0,0,1.1694492788813897
6010,7684-XSZIY,0,0,1.1694492788813897
5685,2569-WGERO,0,0,1.1694492788813897
5896,5884-FBCTL,0,0,1.1694492788813897
6114,9365-CSLBQ,0,0,1.1694492788813897
6152,9964-WBQDJ,0,0,1.1694492788813897
5906,6024-RUGGH,0,0,1.1694492788813897
5913,6181-AXXYF,0,0,1.1694492788813897
6106,9153-BTBVV,0,0,1.1694492788813897
5788,4193-IBKSW,0,0,1.1694492788813897
5616,1555-HAPSU,0,0,1.1694492788813897
5753,3612-YVGSJ,0,0,1.1694492788813897
5589,1131-QQZEB,0,0,1.1694492788813897
5973,7161-DFHUF,0,0,1.1694492788813897
5965,7014-ZZXAW,0,0,1.1694492788813897
5954,6892-BOGQE,0,0,1.1694492788813897
6121,9430-NKQLY,0,0,1.1694492788813897
5542,0480-KYJVA,0,0,1.1694492788813897
5946,6734-PSBAW,0,0,1.1694492788813897
6077,8749-TZYEC,0,0,1.1694492788813897
5537,0402-OAMEN,0,0,1.1694492788813897
6123,9504-YAZWB,0,0,1.1747041679061714
6111,9257-AZMTZ,0,0,1.1747041679061714
5662,2228-BZDEE,0,0,1.1747041679061714
5529,0318-ZOPWS,0,0,1.1747041679061714
6094,8957-THMOA,0,0,1.1747041679061714
5723,3170-NMYVV,0,0,1.1747041679061714
6065,8540-ZQGEA,0,0,1.1747041679061714
6124,9507-HSMMZ,0,0,1.1747041679061714
5957,6925-BAYGL,0,0,1.180264784873761
5719,3120-FAZKD,0,0,1.180264784873761
5560,0732-OCQOC,0,0,1.180264784873761
5873,5549-ZGHFB,0,0,1.180264784873761
5887,5793-YOLJN,0,0,1.180264784873761
5726,3212-KXOCR,0,0,1.180264784873761
6107,9173-IVZVP,0,0,1.180264784873761
5666,2263-SFSQZ,0,0,1.180264784873761
5918,6292-TOSSS,0,0,1.180264784873761
5659,2207-RYYRL,0,0,1.180264784873761
5925,6407-GSJNL,0,0,1.180264784873761
5769,3785-KTYSH,0,0,1.180264784873761
5600,1248-DYXUB,0,0,1.180264784873761
5948,6770-UAYGJ,0,0,1.180264784873761
5592,1207-BLKSA,0,0,1.180264784873761
5909,6080-LNESI,0,0,1.180264784873761
6058,8434-VGEQQ,0,0,1.1929246314210757
6014,7717-BICXI,0,0,1.1929246314210757
6083,8838-GPHZP,0,0,1.1929246314210757
5665,2236-HILPA,0,0,1.1929246314210757
