customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type
0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,2,90.45,5957.9,No,Two year,DSL,Mailed check
0017-DINOC,Male,0,No,No,54,No,No phone service,1,Yes,No,No,Yes,Yes,No,3,No,4,45.2,2460.55,No,Two year,DSL,Credit card (automatic)
0019-GFNTW,Female,0,No,No,56,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,3,No,3,45.05,2560.1,No,Two year,DSL,Bank transfer (automatic)
0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,1,Yes,No,Yes,Yes,No,No,3,Yes,4,39.4,825.4,No,Two year,DSL,Credit card (automatic)
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,Yes,3,85.15,6316.2,No,Two year,DSL,Bank transfer (automatic)
0114-IGABW,Female,0,Yes,No,71,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,58.25,4145.9,No,Two year,DSL,Bank transfer (automatic)
0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,2,88.1,5526.75,No,Two year,DSL,Mailed check
0191-EQUUH,Female,0,No,Yes,25,No,No phone service,1,Yes,No,No,Yes,No,No,3,No,3,35.05,844.45,No,Two year,DSL,Bank transfer (automatic)
0214-JHPFW,Female,0,Yes,No,70,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,57.8,4039.3,No,Two year,DSL,Bank transfer (automatic)
0229-LFJAF,Male,0,No,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,3,69.65,4908.25,No,Two year,DSL,Bank transfer (automatic)
0230-WEQUW,Male,0,Yes,No,66,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,No,3,Yes,3,56.6,3789.2,No,Two year,DSL,Bank transfer (automatic)
0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,89.7,6339.3,No,Two year,DSL,Credit card (automatic)
0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,92.65,6733,No,Two year,DSL,Bank transfer (automatic)
0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,3,No,1,79.65,3870.3,No,Two year,DSL,Electronic check
